Question,Answer,Class,Profile,Profile_fr,Profile_ar,Class_fr,Class_ar,Question_fr,Question_ar,Answer_fr,Answer_ar
activate ecommerce,just log on to netbanking and enable your e-commerce transaction facility.,cards,other,autres,أخرى,cartes,بطاقات,activer le commerce électronique,النشاط الاقتصادي,Connectez-vous simplement à netbanking et activez votre transaction e-commerce.,فقط اسجلوا لشبكات البنك وتمكّنوا من تجهيزات التجارة الإلكترونية
cancel forexplus chip card,"to cancel your forex plus chip card, we request you to contact the phonebanking team or walk into your nearest m&n bank branch and place a request towards cancellation. your request will be processed within one working day of us receiving the request. there are no charges towards the cancellation of a forex plus chip card. however, currency conversion tax as applicable from time to time will be deducted at the time of providing credit to you. kindly visit the following url to access information for the complete address and contact details of our branches and phonebanking centers:",cards,other,autres,أخرى,cartes,بطاقات,annuler la carte puce forexplus,الغاء لبطاقة البريد,"Pour annuler votre carte Forex plus puce, nous vous demandons de contacter l'équipe de banque de téléphone ou de vous rendre dans votre succursale bancaire la plus proche et de demander l'annulation. votre demande sera traitée dans un délai d'un jour ouvrable suivant la réception de la demande. il n'y a pas de frais pour l'annulation d'une carte forex plus puce. Toutefois, l'impôt de conversion des devises, selon le cas, sera déduit au moment de vous accorder un crédit. Veuillez visiter l'url suivante pour obtenir des informations sur l'adresse complète et les coordonnées de nos succursales et centres de banque par téléphone:",لإلغاء بطاقتك لـ (فوركس) بالإضافة إلى البطاقة نطلب منك أن تتصل بفريق بنك الهاتف أو أن تدخل إلى أقرب فرع للمصرف سيتم تجهيز طلبك في غضون يوم عمل واحد من تلقينا الطلب لا توجد رسوم لإلغاء بطاقة (فوركس زائد) غير أن ضريبة تحويل العملات، حسب الاقتضاء من حين لآخر، ستخصم وقت توفير الائتمان لك. يرجى زيارة الموقع التالي للاطلاع على المعلومات من أجل العنوان الكامل وتفاصيل الاتصال بفروعنا ومراكز الاتصال الهاتفية:
topup value card abroad,forexplus chip card can also be loaded on your behalf by someone authorized by you. authorised person has to visit m&n bank branch with the necessary documents and funds. weatmll take care of the rest.,cards,other,autres,أخرى,cartes,بطاقات,carte de valeur ajoutée à l'étranger,بطاقة قيمة أعلى في الخارج,carte puce forexplus peut également être chargé en votre nom par une personne autorisée par vous. La personne autorisée doit se rendre dans la succursale bancaire avec les documents et les fonds nécessaires. weatmll s'occupe du reste.,بطاقة الشريحة يمكن أيضا تحميل نيابة عنك من قبل شخص مرخص لك. ويتعين على الشخص المرخص له أن يزور فرع البنك مع الوثائق والأموال اللازمة. سنعتني بالباقي
check balance bank forexplus chip card,"you can check the balance on forexplus chip card with the help of netbanking facility. you will need to use the card number as user id & ipin issued to you as part of the card kit to login to netbanking facility. alternately, you can also contact our phonebanking services to check the balance on your forexplus card.",cards,relationship manager,gestionnaire de relations,مدير العلاقة,cartes,بطاقات,vérifier le solde bancaire de la carte à puce Explus,الرصيد المصرفي لبطاقة التصدير,"vous pouvez vérifier le solde sur la carte à puce Forexplus à l'aide de la facilité de netbanking. vous aurez besoin d'utiliser le numéro de carte comme id utilisateur & ipin émis à vous dans le cadre du kit de carte pour vous connecter à netbanking installation. alternativement, vous pouvez également contacter nos services de banque de téléphone pour vérifier le solde de votre carte forexplus.",يمكنك التحقق من الميزان على بطاقة رقاقة لـ (فوركسبلس) بمساعدة من مرفق الصرافة ستحتاجون إلى استخدام رقم البطاقة كمستخدمين د. بالتناوب، يمكنك أيضاً الاتصال بخدماتنا المصرفية الهاتفية للتحقق من التوازن على بطاقة إكسبلس الخاصة بك.
need bank account purchase bank forexplus chip card,"no, you don't need to have an account with m&n bank to purchase the forexplus chip card. you can just walk into any of our m&n bank branches in india and purchase it over the counter on submission of relevant kyc documents.",cards,relationship manager,gestionnaire de relations,مدير العلاقة,cartes,بطاقات,besoin d'un compte bancaire banque d'achat de la carte puce explus,احتياج مصرف شراء الحساب المصرفي لبطاقة التصدير,"Non, vous n'avez pas besoin d'avoir un compte avec la banque m&n pour acheter la carte à puce Forexplus. vous pouvez simplement entrer dans n'importe laquelle de nos succursales de banque m&n en Inde et l'acheter sur le comptoir sur la soumission des documents kyc pertinents.",لا، لا تحتاج إلى حساب مع بنك (ميلن) لشراء بطاقة رقاقة (فوركسبلس) يمكنك فقط الدخول إلى أي من فروعنا البنكية في (إنديا) وشراءه على الطاولة عند تقديم وثائق (كيك) ذات الصلة
value card topped,"yes, your forexplus chip card can be reloaded multiple times in future till the card gets expired: you can authorize the bank to debit your m&n bank account by giving an m&n bank cheque or make payment using a local cheque drawn on m&n bank and reload the card for desired value. reload requests can be made by any authorized person on your behalf. the person authorised by you for the same will need to come to bank branch and will need to provide the necessary documents to the bank to carry out reload. on receipt of the application form and the funds, your card will get reloaded for the desired amount. m&n bank customers can also place a request to reload the card through m&n bank phonebanking services. incase the card is issued by your corporate/employer, reload requests received through them will be acted upon by m&n bank.",cards,other,autres,أخرى,cartes,بطاقات,carte de valeur surmontée,بطاقة القيمة,"Oui, votre carte à puce Forexplus peut être rechargée plusieurs fois jusqu'à l'expiration de la carte : vous pouvez autoriser la banque à débiter votre compte bancaire m&n en donnant un chèque bancaire m&n ou en effectuant le paiement au moyen d'un chèque local tiré sur la banque m&n et recharger la carte pour la valeur souhaitée. Les demandes de rechargement peuvent être faites par toute personne autorisée en votre nom. la personne autorisée par vous pour le même devra venir à la succursale bancaire et devra fournir les documents nécessaires à la banque pour effectuer le rechargement. sur réception du formulaire de demande et des fonds, votre carte sera rechargée pour le montant souhaité. Les clients de la banque peuvent également demander de recharger la carte par l'intermédiaire des services bancaires de la banque. dans le cas où la carte est émise par votre entreprise/employeur, les demandes de recharge reçues par leur intermédiaire seront traitées par la banque m&n.",نعم، بطاقة رقاقة الخاص بك يمكن أن يعاد تحميل عدة مرات في المستقبل حتى تنتهي البطاقة: يمكنك أن تأذن للمصرف أن يخفض حسابك المصرفي ويمكن لأي شخص مرخص له أن يقدم طلبات إعادة تحميل نيابة عنك. الشخص الذي أذنت به لنفسه سيحتاج أن يأتي إلى فرع مصرفي وسيحتاج إلى تقديم الوثائق اللازمة إلى المصرف ليقوم بإعادة تحميلها. عند استلام استمارة الطلب والأموال ستتم إعادة تحميل بطاقتك للمبلغ المطلوب (م) يمكن للزبائن المصرفيين أيضاً أن يقدموا طلباً لإعادة تحميل البطاقة من خلال خدمات مصرفية مصغرة. في حالة صدور البطاقة من شركتك/مديرك، فإن إعادة تحميل الطلبات المتلقاة من خلالها ستتخذ إجراءاتها من قبل مصرف (ماين).
use dcc mcc option time transaction,"whenever forexplus chip cardholder opts for dcc/mcc option on dcc/mcc enabled pos/atm terminals, his/her transaction passes through cross currency transactions twice. it is not advisable for a forexplus chip cardholder to opt for dcc/mcc while using forexplus platinum card for making payments. please note that every cross currency transaction attracts currency conversion charges at applicable rates. apart from this, the cardholder will also get penalised due to fluctuation in currency conversion rate.",cards,back office operator,opérateur de back office,مشغل المكاتب,cartes,بطاقات,utiliser dcc mcc option time transaction,(ب) استخدام الوقت المحدد لخيار التراكمي,"chaque fois que le détenteur de cartes à puce Forexplus opte pour l'option dcc/mcc sur les terminaux dcc/mcc activés pos/atm, sa transaction passe deux fois par des transactions en devises croisées. il n'est pas conseillé qu'un titulaire de carte à puce Forexplus opte pour dcc/mcc tout en utilisant la carte platine Forexplus pour effectuer des paiements. Veuillez noter que chaque transaction de change attire des frais de conversion de devises aux taux applicables. En dehors de cela, le détenteur de la carte sera également pénalisé en raison des fluctuations du taux de conversion des devises.",وكلما اختار حامل البطاقة السائلة خياراً للحمض النووي/ملحوم التراكمي الممنوع من أجهزة طرفية مجهزة بالبعوض، تمر صفقاته عن طريق المعاملات عبر العملات مرتين. وليس من المستصوب أن يختار حامل البطاقات من طراز &quot; إكسبلس &quot; (Pexplus) (Dcc/mcc) في الوقت الذي يستخدم فيه بطاقة &quot; forexplus platinum &quot; لتقديم المدفوعات. يُرجى ملاحظة أن كل معاملة من المعاملات عبر العملات تجذب رسوم تحويل العملات بالمعدلات المنطبقة. وإلى جانب ذلك، سيعاقب حامل البطاقة أيضا بسبب تقلب أسعار تحويل العملات.
happens card lost,"in case your card gets lost or stolen, all you have to do is call m&n bank phonebanking immediately and report the loss of your card. this facility is available 24 hrs. on all days. in case if you have been issued a back-up card in the kit, you can activate the back-up card by calling m&n bank phone banking or through prepaid netbanking. once the back-up card is activated, all the funds from primary card will be transferred automatically to the back up card.",cards,other,autres,أخرى,cartes,بطاقات,se produit carte perdue,البطاقة المفقودة,"au cas où votre carte serait perdue ou volée, tout ce que vous avez à faire est d'appeler immédiatement la banque bancaire et de signaler la perte de votre carte. cette installation est disponible 24 heures sur 24. tous les jours. dans le cas où vous avez reçu une carte de secours dans la trousse, vous pouvez activer la carte de secours en appelant la banque de téléphone bancaire m&n ou par l'intermédiaire d'une banque nette prépayée. Une fois la carte de sauvegarde activée, tous les fonds de la carte primaire seront automatiquement transférés à la carte de sauvegarde.",في حال فقدت بطاقتك أو سرقت كل ما عليك فعله هو الاتصال بـ (بنك) على الفور و الإبلاغ عن فقدان بطاقتك This facility is available 24 hrs. طوال اليوم في حالة إذا كنت قد تم إصدار بطاقة احتياطية في المجموعة، يمكنك تشغيل بطاقة احتياطية من خلال دعوة مين بنك الهاتف المصرفي أو من خلال القيد المدفوع مسبقا. وبمجرد تفعيل البطاقة الاحتياطية، يتم تحويل جميع الأموال من البطاقة الأولية تلقائياً إلى البطاقة الخلفية.
cancel forex plus card,"to cancel your forexplus chip card, we request you visit our your nearest m&n bank branch and place a request towards cancellation the of the card. your request will be processed within one working day of us receiving the request and the available balance on the card will be refunded back to your account. incase you do not have an account with us then a demand draft shall be issued for the respective refund amount. there are no charges towards the cancellation of a forexplus chip card. however, currency conversion tax as applicable from time to time will be deducted at the time of providing credit to you. kindly visit the following url to access information for the complete address and contact details of our branches and phonebanking centers:",cards,other,autres,أخرى,cartes,بطاقات,annuler forex plus carte,الغاء لبطاقة إضافية,"Pour annuler votre carte à puce Forexplus, nous vous demandons de visiter notre succursale bancaire M&n la plus proche et de demander l'annulation de la carte. Votre demande sera traitée dans un délai d'un jour ouvrable après réception de la demande et le solde disponible sur la carte sera remboursé à votre compte. dans le cas où vous n'avez pas de compte avec nous, un avant-projet de demande sera émis pour le montant de remboursement respectif. il n'y a pas de frais pour l'annulation d'une carte à puce forexplus. Toutefois, l'impôt de conversion des devises, selon le cas, sera déduit au moment de vous accorder un crédit. Veuillez visiter l'url suivante pour obtenir des informations sur l'adresse complète et les coordonnées de nos succursales et centres de banque par téléphone:",لإلغاء بطاقتك الخاصة بـ (فوركسبلس) نطلب منك أن تزور أقرب فرع للمصرف و تضع طلباً لإلغاء البطاقة سيتم تجهيز طلبك في يوم عمل واحد منا نتلقى الطلب والتوازن المتاح في البطاقة سيعاد إلى حسابك إذا لم يكن لديك حساب معنا عندها سيصدر مشروع طلب للمبلغ المسترد لا توجد رسوم لإلغاء بطاقة شريحة لـ (كوسبلس) غير أن ضريبة تحويل العملات، حسب الاقتضاء من حين لآخر، ستخصم وقت توفير الائتمان لك. يرجى زيارة الموقع التالي للاطلاع على المعلومات من أجل العنوان الكامل وتفاصيل الاتصال بفروعنا ومراكز الاتصال الهاتفية:
traveller still benefit forexplus chip card,"the forexplus chip card is only for travellers, and cannot be issued to non-travellers",cards,other,autres,أخرى,cartes,بطاقات,le voyageur bénéficie toujours de la carte à puce pourexplus,المسافر ما زالَ يَدْفعُ لبطاقةِ رقاقةِ التصدير,la carte à puce forexplus est réservée aux voyageurs et ne peut être délivrée aux non-voyageurs,بطاقة رقاقة الكسبروس فقط للمسافرين ولا يمكن إصدارها لغير المسافرين
renewed passport new number need update new passport number forexplus platinum card,"yes, we request you to get in touch with nearby branch along with original & copy of your passport to get the new passport number updated in the bank's records. passport number is key validation criteria to check caller authenticity when you contact our 24 x 7 phonebanking service, hence it is recommended to update passport number at the earliest.",cards,other,autres,أخرى,cartes,بطاقات,nouveau numéro de passeport nouveau besoin de mise à jour nouveau numéro de passeport carte platine explus,الرقم الجديد لجواز السفر المتجدد يحتاج إلى تحديث رقم جواز السفر الجديد لبطاقة البلاتين,"Oui, nous vous demandons d'entrer en contact avec la succursale voisine avec l'original et la copie de votre passeport pour obtenir le nouveau numéro de passeport mis à jour dans les dossiers de la banque. Le numéro de passeport est un critère clé de validation pour vérifier l'authenticité de l'appelant lorsque vous contactez notre service de banque téléphonique 24 x 7, il est donc recommandé de mettre à jour le numéro de passeport au plus tôt.",نعم، نطلب منك أن تتصل بفرع قريب مع نسخة أصلية من جواز سفرك للحصول على رقم جواز السفر الجديد في سجلات البنك رقم جواز السفر هو معايير التحقق الرئيسية للتحقق من صحة المتصل عندما تتصل بخدمة الـ 24 × 7 بنك الهاتف
currency available,there are five currencies offered: euro (eur) sterling pound (gbp) us dollar (usd) thailand baht (thb) hongkong dollar (hkd),cards,other,autres,أخرى,cartes,بطاقات,monnaie disponible,العملة المتاحة,il y a cinq devises offertes: euro (eur) livre sterling (gbp) nous dollar (usd) thaïland baht (thb) dollar hongkong (hkd),هناك خمس عملات مقدمة: اليورو (يورو) الرطل العقيم (gbp)
bank forexplus platinum chip card,"m&n bank forexplus platinum (chip) card is an embedded chip based prepaid card introduced in partnership with visa international. it offers you a convenient and secure way to carry your forex. this card gives you the freedom to shop anywhere in the world and provides access to the currency of your destination at competitive market rates. it can be used at all visa atms and merchant establishments worldwide. this card cannot be used for payments in india, nepal or bhutan.",cards,other,autres,أخرى,cartes,بطاقات,carte à puce banque forexplus platine,مصرف لبطاقة البلاتين,"m&n banque forexplus platine (chip) carte est une carte prépayée intégrée à puce introduit en partenariat avec visa international. il vous offre une façon pratique et sûre de transporter votre forex. cette carte vous donne la liberté de magasiner n'importe où dans le monde et donne accès à la monnaie de votre destination à des prix compétitifs du marché. Il peut être utilisé à tous les visas et établissements marchands dans le monde entier. Cette carte ne peut pas être utilisée pour les paiements en Inde, en népal ou en bhoutan.",(م) مصرف &quot; البلاتينوم &quot; (Paexplus platinum (chip) هو بطاقة شريحة مدمجة مدفوعة سلفاً أُدخلت في شراكة مع شركة &quot; تأشيرات &quot; الدولية. انها توفر لك وسيلة ملائمة وآمنة لحمل شوكة الخاص بك. هذه البطاقة تمنحك حرية التسوق في أي مكان في العالم وتوفر لك فرص الحصول على عملة مقصدك بأسعار السوق التنافسية ويمكن استخدامه على جميع أعلام التأشيرات ومؤسسات التجار في جميع أنحاء العالم. لا يمكن استخدام هذه البطاقة للمدفوعات في الهند أو النيبال أو البوتان.
topup value card abroad,forexplus platinum card can also be loaded on your behalf by someone authorized by you. authorised person has to visit m&n bank branch with the necessary documents and funds. weatmll take care of the rest.,cards,other,autres,أخرى,cartes,بطاقات,carte de valeur ajoutée à l'étranger,بطاقة قيمة أعلى في الخارج,Forexplus carte platine peut également être chargé en votre nom par quelqu'un autorisé par vous. La personne autorisée doit se rendre dans la succursale bancaire avec les documents et les fonds nécessaires. weatmll s'occupe du reste.,بالنسبة لبطاقة البلاتينيوم يمكن أيضا تحميل نيابة عنك من قبل شخص مرخص لك. ويتعين على الشخص المرخص له أن يزور فرع البنك مع الوثائق والأموال اللازمة. سنعتني بالباقي
need pay additional amount cash withdrawal charge levied bank atm transaction,"in certain countires atm service providers are authorized to charge surcharge/convenience fees from the cardholders for accessing the atm to withdraw money. these charges are levied by the atm service provider over and above the charges levied by the m&n bank, and m&n bank bank has no control over the charges as these charges are not levied by the bank.these charges are normally displayed to the customer during the transaction and the customer has the option to either proceed with the transaction or abort if the charges are not acceptable to the customer.",cards,back office operator,opérateur de back office,مشغل المكاتب,cartes,بطاقات,besoin de payer le montant supplémentaire frais de retrait d'espèces prélevé banque transaction,احتياج إلى دفع مبلغ إضافي من رسوم السحب النقدية المقيدة على حساب مصرف فيم,"dans certains pays, les prestataires de services sont autorisés à facturer des frais supplémentaires/convenances aux détenteurs de carte pour avoir accès à l'ATM afin de retirer de l'argent. ces frais sont perçus par le prestataire de services d'amm en sus des frais perçus par la banque m&n, et la banque m&n n'a aucun contrôle sur les frais étant donné que ces frais ne sont pas perçus par la banque. Ces frais sont normalement affichés au client pendant la transaction et le client a la possibilité de procéder à la transaction ou d'avorter si les frais ne sont pas acceptables pour le client.",ويؤذن لمقدمي الخدمات في بعض المقاطعات التي توجد بها رسوم إضافية/مناسبة من حاملي البطاقات للحصول على الغرفة لسحب الأموال. وتفرض هذه الرسوم على مقدِّم الخدمات في الغرفة وما فوق الرسوم التي يُفرضها المصرف المختلط، ولا يتحكم مصرف (مِن) في الرسوم نظراً إلى أن هذه الرسوم لا يُفرضها المصرف. وتُعرض هذه الرسوم عادة على الزبون أثناء المعاملة، ويكون للزبون خيار إما الشروع في المعاملة أو الإجهاض إذا لم تكن التهم مقبولة لدى العميل.
contact card lost stolen,immediately report the loss of your forexplus platinum card by calling m&n bank phonebanking. you will not be liable for transactions on your card account (if any) from the moment your report is registered with the bank. alternately you can hotlist the card with the help of prepaid netbanking facility.,cards,other,autres,أخرى,cartes,بطاقات,carte de contact perdue volée,بطاقة اتصال مفقودة,"Signalez immédiatement la perte de votre carte de platine Forexplus en appelant la banque de téléphone. vous ne serez pas responsable des transactions sur votre compte de carte (le cas échéant) dès que votre déclaration sera enregistrée auprès de la banque. alternativement, vous pouvez faire la liste de la carte à l'aide de l'installation de banque nette prépayée.",على الفور أبلغ عن فقدانك لبطاقة البلاتينيوم عن طريق الاتصال بنك الهاتف لن تكون مسؤولاً عن المعاملات في حساب بطاقتك (إن وجدت) منذ لحظة تسجيل تقريرك في البنك بالتناوب يمكنك تسجيل البطاقة بمساعدة من مرفق الصرافة
currency available bank forexplus platinum card,"the m&n bank forexplus platinum card is currently available in 5 currencies, i.e. usd, euro, gbp, hkd and thb.",cards,other,autres,أخرى,cartes,بطاقات,monnaie disponible banque pour carte platineexplus,العملة المتاحة للمصرف مقابل بطاقة البلاتين,"La carte M&n Bank forexplus platine est actuellement disponible en 5 devises, c'est-à-dire usd, euro, gbp, hkd et thb.",ويتوفر حالياً بنك البلاتينوس بخمسة عملات، أي الأتعاب، واليورو، والبرق، والزبدة، والثب.
need bank account purchase bank forexplus platinum card,"no, you don't need to have an account with m&n bank to purchase the forexplus chip card. you can just walk into any of our m&n bank branches in india and purchase it over the counter on submission of relevant kyc documents.",cards,relationship manager,gestionnaire de relations,مدير العلاقة,cartes,بطاقات,besoin de compte bancaire banque d'achat de la carte platine explus,احتياج مصرف شراء الحساب المصرفي لبطاقة البلاتين,"Non, vous n'avez pas besoin d'avoir un compte avec la banque m&n pour acheter la carte à puce Forexplus. vous pouvez simplement entrer dans n'importe laquelle de nos succursales de banque m&n en Inde et l'acheter sur le comptoir sur la soumission des documents kyc pertinents.",لا، لا تحتاج إلى حساب مع بنك (ميلن) لشراء بطاقة رقاقة (فوركسبلس) يمكنك فقط الدخول إلى أي من فروعنا البنكية في (إنديا) وشراءه على الطاولة عند تقديم وثائق (كيك) ذات الصلة
maximum value card used,"there is no limit imposed on the usage of forexplus platinum card. customer's can withdraw/utilise any amount, upto the value loaded on forexplus platinum card at any atm/pos. however, there are some atms service providers which have put in per day / per transaction limit towards cash dispense which cannot be changed by the bank. in such cases the cardholder might need to do multiple transactions if he wants to withdraw any amount higher than that allowed in one transaction.",cards,other,autres,أخرى,cartes,بطاقات,carte de valeur maximale utilisée,بطاقة القيمة القصوى المستخدمة,"aucune limite n'est imposée à l'utilisation de la carte de platine Forexplus. Les clients peuvent retirer/utiliser n'importe quel montant, jusqu'à la valeur chargée sur la carte de platine Forexplus à n'importe quel atm/pos. Cependant, il y a des fournisseurs de services d'atms qui ont mis en place par jour / par transaction limite vers la distribution en espèces qui ne peuvent pas être changés par la banque. Dans de tels cas, le titulaire de la carte pourrait devoir effectuer plusieurs opérations s'il veut retirer un montant supérieur à celui autorisé pour une opération.",وليس هناك حد مفروض على استخدام بطاقة البلاتينية. يمكن للزبون أن يسحب أو يستعمل أي مبلغ حتى القيمة المحملة على بطاقة البلاتينوم في أي مكان وفي هذه الحالات قد يحتاج حامل البطاقة إلى إجراء معاملات متعددة إذا أراد سحب أي مبلغ أعلى من المبلغ المسموح به في معاملة واحدة.
need know bank forexplus platinum card,"embedded with a chip, this forexplus card offers you a convenient and secure way to carry your forex. with the m&n bank forexplus platinum card you can shop anywhere in the world.",cards,other,autres,أخرى,cartes,بطاقات,besoin de savoir banque forexplus carte platine,تحتاج إلى معرفة البنك لبطاقة البلاتين,"intégré avec une puce, cette carte forexplus vous offre une manière pratique et sécurisée de transporter votre forex. avec la carte M&n Bank forexplus platine, vous pouvez magasiner n'importe où dans le monde.","مدمجة مع رقاقة، هذا لبطاقة الإكسبلوس يقدم لك وسيلة ملائمة وآمنة لحمل شوكة الخاص بك. مع بنك الـ ""م"" لـ ""بلاكتينوم"" يمكنك التسوق في أي مكان في العالم"
nontraveller purchase forexplus card,"no. forexplus cards can only be issued to travellers. a forexplus card is valid for making payments in countries other india, nepal and bhutan whenever you are using your card you must be present at the place of transaction and have to sign the charge slips. as you are a non-traveller you cannot be present at the time of the transaction processing. hence, forexplus platinum cards cannot be issued to non-travellers.",cards,other,autres,أخرى,cartes,بطاقات,Achat non voyageur pour carteexplus,شراء بطاقات غير مؤمنة,"Les cartes forexplus ne peuvent être délivrées qu'aux voyageurs. une carte forexplus est valide pour effectuer des paiements dans d'autres pays india, népal et bhutan chaque fois que vous utilisez votre carte, vous devez être présent au lieu de la transaction et doivent signer les feuillets de frais. comme vous êtes un non-voyageur, vous ne pouvez pas être présent au moment du traitement de la transaction. Par conséquent, les cartes de platine Forexplus ne peuvent pas être délivrées aux non-voyageurs.",لا، لا يمكن إصدار بطاقات التصدير فقط للمسافرين بطاقة الإكسبلس صحيحة لسداد المدفوعات في بلدان أخرى من الهندية والنيبال والبوتان عندما تستخدم بطاقتك يجب أن تكون حاضراً في مكان المعاملة بما أنك غير مسافر لا يمكن أن تكون حاضراً وقت تجهيز الصفقة وبالتالي، لا يمكن إصدار بطاقات البلاتينية لغير المسافرين.
check balance bank forexplus platinum card,"you can check the balance on forexplus platinum card with the help of netbanking facility. you will need to use the card number as user id & ipin issued to you as part of the card kit to login to netbanking facility. alternately, you can also contact our phonebanking services to check the balance on your forexplus card.",cards,relationship manager,gestionnaire de relations,مدير العلاقة,cartes,بطاقات,vérifier le solde bancaire de la carte platine Explus,الرصيد المصرفي لبطاقة البلاتين,"vous pouvez vérifier le solde sur la carte de platine Forexplus à l'aide de netbanking facility. vous aurez besoin d'utiliser le numéro de carte comme id utilisateur & ipin émis à vous dans le cadre du kit de carte pour vous connecter à netbanking installation. alternativement, vous pouvez également contacter nos services de banque de téléphone pour vérifier le solde de votre carte forexplus.",يمكنك التحقق من الميزان الخاص ببطاقة البلاتينيوم بمساعدة من مرفق الصرافة ستحتاجون إلى استخدام رقم البطاقة كمستخدمين د. بالتناوب، يمكنك أيضاً الاتصال بخدماتنا المصرفية الهاتفية للتحقق من التوازن على بطاقة إكسبلس الخاصة بك.
contact card lost stolen,immediately report the loss of your m&n bank forexplus platinum card by calling m&n bank phone banking. you will not be liable for transactions on your card account (if any) from the moment your report is registered with the bank.,cards,other,autres,أخرى,cartes,بطاقات,carte de contact perdue volée,بطاقة اتصال مفقودة,Signalez immédiatement la perte de votre carte M&n Bank forexplus platine en appelant la banque M&n Bank. vous ne serez pas responsable des transactions sur votre compte de carte (le cas échéant) dès que votre déclaration sera enregistrée auprès de la banque.,أُبلغ فوراً عن فقدان بنكك (ميلان) لـ (بلازموس) ببطاقة هاتف مصرفي لن تكون مسؤولاً عن المعاملات في حساب بطاقتك (إن وجدت) منذ لحظة تسجيل تقريرك في البنك
need pay charge availing gca,"in case you avail of gcas services, charges as per visa guidelines will be charged to you. details of charges are as follows: reporting lost/ stolen card : nil emergency replacement of card : usd 25 emergency cash requirement : usd 25 view more",cards,other,autres,أخرى,cartes,بطاقات,besoin de frais payants en utilisant gca,الحاجة إلى دفعة أجر,"dans le cas où vous profitez de services gcas, les frais selon les directives de visa vous seront facturés. détails des frais sont les suivants: déclaration de perte / carte volée: remplacement d'urgence zéro de la carte: usd 25 urgence en espèces: usd 25 voir plus",في حالة الاستفادة من خدمات الـ(جكاس) فإن الرسوم حسب المبادئ التوجيهية للتأشيرة ستوجه إليك وفيما يلي تفاصيل التهم: الإبلاغ عن البطاقة المفقودة/المسروقة: الاستبدال الطارئ للبطاقات: استخدام 25 شرطا نقديا في حالات الطوارئ: استخدام 25 نظرة أكثر
cancel forexplus platinum card,"to cancel your forex plus platinum card, we request you to contact the phonebanking team or walk into your nearest m&n bank branch and place a request towards cancellation. your request will be processed within one working day of us receiving the request. there are no charges towards the cancellation of a forex plus platinum card. however, currency conversion tax as applicable from time to time will be deducted at the time of providing credit to you. kindly visit the following url to access information for the complete address and contact details of our branches and phonebanking centers",cards,other,autres,أخرى,cartes,بطاقات,annuler carte platine forexplus,الغاء لبطاقة البلاتين,"Pour annuler votre carte de Forex plus platine, nous vous demandons de contacter l'équipe de banque téléphonique ou de vous rendre dans votre succursale bancaire la plus proche et de faire une demande d'annulation. votre demande sera traitée dans un délai d'un jour ouvrable suivant la réception de la demande. il n'y a pas de frais pour l'annulation d'une carte forex plus platine. Toutefois, l'impôt de conversion des devises, selon le cas, sera déduit au moment de vous accorder un crédit. Veuillez visiter l'url suivante pour accéder aux informations pour l'adresse complète et les coordonnées de nos succursales et centres de téléphonie",لإلغاء بطاقة الـ(فوركس) بالإضافة إلى (بلاتينوم) نطلب منك أن تتصل بفريق بنك الهاتف أو أن تدخل إلى فرعك المصرفي الأقرب سيتم تجهيز طلبك في غضون يوم عمل واحد من تلقينا الطلب لا توجد أي رسوم لإلغاء بطاقة الفولتينوم غير أن ضريبة تحويل العملات، حسب الاقتضاء من حين لآخر، ستخصم وقت توفير الائتمان لك. يرجى زيارة اليورل التالي للاطلاع على المعلومات من أجل العنوان الكامل وتفاصيل الاتصال بفرعينا ومراكز الاتصال الهاتفية
